Wormbase.ID,Sequence.ID,Category.1,Category.2,Category.3,Automated.Description
WBGene00019846,R03G5.5,Stress response,Stress response: unassigned,Stress response: unassigned,gpx-7 is an ortholog of human GPX4\; is predicted to have glutathione peroxidase activity.
WBGene00002024,C14F11.5,Stress response,Stress response: heat,Stress response: heat,"hsp-43 is an ortholog of human CRYAB (crystallin alpha B), HSPB1 (heat shock protein family B (small) member 1), and HSPB6\; is expressed in several tissues, including the alimentary system, the copulatory spicule, the hypodermis, the muscular system, and the reproductive system\; human HSPB1 exhibits protein binding activity involved in protein folding, protein homodimerization activity, and protein kinase binding activity."
WBGene00017843,F26G5.1,Unassigned,Unassigned,Unassigned,F26G5.1 is expressed in the germ line.
WBGene00015695,C10H11.6,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,ugt-26 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have glucuronosyltransferase activity.
WBGene00004238,F46G10.5,Signaling,Signaling: hedgehog-like,Signaling: hedgehog-like,ptr-24 is involved in molting cycle.
WBGene00003999,C05A9.1,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"pgp-5 is an ortholog of human ABCB4 (ATP binding cassette subfamily B member 4), ABCB11 (ATP binding cassette subfamily B member 11), and ABCB1\; is predicted to have efflux transmembrane transporter activity\; is involved in several processes, including defense response to bacterium, response to drug, and stress response to metal ion\; is expressed in the intestine."
WBGene00013096,Y51H1A.6,Unassigned,Unassigned,Unassigned,"mcd-1 is predicted to have metal ion binding activity\; is involved in nematode larval development, positive regulation of growth rate, and programmed cell death."
WBGene00013008,Y48E1B.9,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,clec-146 is predicted to have carbohydrate binding activity.
WBGene00020763,T24C4.7,Nucleic acid,Nucleic acid: binding,Nucleic acid: binding: zinc finger,"ztf-18 is predicted to have nucleic acid binding activity\; is expressed in several tissues, including the alimentary system, the body wall musculature, the hypodermis, and the nervous system."
WBGene00018241,F40G9.5,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"F40G9.5 is enriched in the germ line, the intestine, the male, and the pharynx based on microarray, proteomic, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on RNA-seq, microarray, and proteomic studies\; is affected by five chemicals including methylmercuric chloride, Mianserin, and Cry5B based on microarray and RNA-seq studies."
WBGene00016523,C39B5.5,Proteolysis general,Proteolysis general: inhibitor,Proteolysis general: inhibitor: cysteine,C39B5.5 is predicted to have cysteine-type endopeptidase inhibitor activity.
WBGene00194651,C33D9.13,Unassigned,Unassigned,Unassigned,"C33D9.13 is enriched in the intestine based on RNA-seq studies\; is affected by several genes including daf-16, hsf-1, and clk-1 based on RNA-seq and microarray studies\; is affected by eleven chemicals including methylmercury hydroxide, 1-methylnicotinamide, and bisphenol S based on RNA-seq and microarray studies."
WBGene00194674,F23D12.11,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F23D12.11 is affected by several genes including daf-16, daf-2, and skn-1 based on proteomic, RNA-seq, and microarray studies\; is affected by thirteen chemicals including Ethanol, Rotenone, and manganese chloride based on RNA-seq and microarray studies."
WBGene00194985,Y25C1A.14,Unassigned,Unassigned,Unassigned,"Y25C1A.14 is affected by several genes including daf-2, hsf-1, and sma-2 based on RNA-seq and microarray studies\; is affected by 1-methylnicotinamide based on RNA-seq studies."
WBGene00007196,B0513.4,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"B0513.4 is enriched in dopaminergic neurons and the germ line based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, tiling array, and RNA-seq studies\; is affected by six chemicals including hydrogen sulfide, Alovudine, and Zidovudine based on microarray and RNA-seq studies."
WBGene00006331,R10E4.2,Development,Development: sex determination,Development: sex determination,"sup-26 is an ortholog of human RBMS1 (RNA binding motif single stranded interacting protein 1), RBMS2 (RNA binding motif single stranded interacting protein 2), and RBMS3 (RNA binding motif single stranded interacting protein 3)\; exhibits mRNA 3'-UTR binding activity\; is involved in negative regulation of translation\; localizes to the cytoplasm\; is expressed in several tissues including the gonad and the nervous system."
WBGene00012241,W04A8.6,Unassigned,Unassigned,Unassigned,"W04A8.6 is enriched in the NSM based on RNA-seq studies\; is affected by several genes including daf-2, elt-2, and sir-2.1 based on microarray and RNA-seq studies\; is affected by five chemicals including Alovudine, stavudine, and Zidovudine based on RNA-seq and microarray studies."
WBGene00009259,F29G6.3,Unassigned,Unassigned,Unassigned,"hpo-34 is enriched in the OLL, the PVD, the intestine, and the pharyngeal muscle cell based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by several genes including daf-2, skn-1, and daf-12 based on microarray, RNA-seq, tiling array, and proteomic studies\; is affected by ten chemicals including Cry5B, Zidovudine, and Progesterone based on RNA-seq and microarray studies."
WBGene00206380,C42D4.18,Unassigned,Unassigned,Unassigned,C42D4.18 is enriched in the germ line and the intestine based on RNA-seq and microarray studies\; is affected by daf-2 and alg-1 based on RNA-seq studies.
WBGene00006568,Y43C5A.5,Metabolism,Metabolism: pentose phosphate pathway,Metabolism: pentose phosphate pathway,thk-1 is an ortholog of human TK1\; is predicted to have ATP binding activity and thymidine kinase activity.
WBGene00020658,T21F4.1,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,T21F4.1 is an ortholog of human ARG1 and ARG2\; is predicted to have metal ion binding activity\; human orthologs of this gene are implicated in hyperargininemia.
WBGene00011259,R13.4,Transcription factor,Transcription factor: ETS,Transcription factor: ETS,"miz-1 is an ortholog of human ZMIZ1 (zinc finger MIZ-type containing 1) and ZMIZ2 (zinc finger MIZ-type containing 2)\; is expressed in several tissues, including the alimentary system, the muscular system, the nervous system, and the reproductive system\; human ZMIZ2 exhibits nuclear receptor transcription coactivator activity."
WBGene00044296,F10C1.9,Unassigned,Unassigned,Unassigned,"F10C1.9 is enriched in the intestine based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and hsf-1 based on RNA-seq and microarray studies\; is affected by five chemicals including Rotenone, D-glucopyranose, and stavudine based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Lamin tail domain superfamily."
WBGene00017490,F15E11.1,Unassigned,Unassigned,Unassigned,pud-2.1 is expressed in the hypodermis and the intestine.
WBGene00012144,T28H10.3,Proteolysis general,Proteolysis general: aspartate,Proteolysis general: aspartate: unassigned,"T28H10.3 is an ortholog of human LGMN\; is predicted to have peptidase activity\; is expressed in several tissues, including the Eala, the Ealp, the Eara, the Earp, and the Epla."
WBGene00021997,Y59E9AR.1,Unassigned,Unassigned,Unassigned,"Y59E9AR.1 is affected by several genes including age-1, let-7, and gld-1 based on microarray, RNA-seq, and proteomic studies\; is affected by Ethanol and methylmercury hydroxide based on RNA-seq studies\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
WBGene00002273,W01A11.4,Stress response,Stress response: unassigned,Stress response: unassigned,lec-10 is an ortholog of human LGALS3 (galectin 3)\; exhibits glycolipid binding activity\; localizes to the apical part of cell and cytoplasm\; is expressed in the intestine.
WBGene00002272,C16H3.2,Extracellular material,Extracellular material: lectin,Extracellular material: lectin,lec-9 is an ortholog of human LGALS3 (galectin 3)\; exhibits glycolipid binding activity\; localizes to the cytoplasm.
WBGene00012317,W06H12.1,Nucleic acid,Nucleic acid: binding,Nucleic acid: binding: zinc finger,"ztf-6 is predicted to have nucleic acid binding activity\; is expressed in several tissues, including the V cell, the V5L.p, the epithelial system, the hyp7 precursor cell, and the nervous system."
WBGene00008521,F02D8.4,Proteolysis general,Proteolysis general: carboxypeptidase,Proteolysis general: carboxypeptidase,F02D8.4 is an ortholog of human CPA3 (carboxypeptidase A3) and CPB1 (carboxypeptidase B1)\; is predicted to have metallocarboxypeptidase activity and zinc ion binding activity\; human orthologs of this gene are implicated in familial temporal lobe epilepsy 5.
WBGene00022006,Y59H11AM.2,Metabolism,Metabolism: unassigned,Metabolism: unassigned,mpst-5 is an ortholog of human MPST and tst\; human TST exhibits 5S rRNA binding activity.
WBGene00009243,F29C6.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F29C6.1 is enriched in the PLM, the germ line, the hypodermis, and the pharyngeal muscle cell based on tiling array, RNA-seq, and proteomic studies\; is affected by several genes including daf-2, dpy-10, and clk-1 based on RNA-seq and microarray studies\; is affected by four chemicals including Rotenone, Alovudine, and stavudine based on RNA-seq and microarray studies."
WBGene00006981,C09C7.1,Extracellular material,Extracellular material: matrix,Extracellular material: matrix,"zig-4 is involved in neuron development\; is expressed in several tissues, including the alimentary system and the nervous system."
WBGene00021993,Y59E9AL.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y59E9AL.3 is enriched in the epithelial system, the male, and the nervous system based on RNA-seq and microarray studies\; is affected by several genes including daf-2, daf-12, and dpy-10 based on microarray and RNA-seq studies\; is affected by eighteen chemicals including Ethanol, methylmercury hydroxide, and methylmercuric chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Cytosolic motility protein."
WBGene00001099,K02D7.4,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,dsc-4 is an ortholog of human MTTP\; is involved in endoplasmic reticulum unfolded protein response\; is expressed in the intestine.
WBGene00001478,Y39A1A.19,Metabolism,Metabolism: FMO,Metabolism: FMO,"fmo-3 is an ortholog of human FMO5 (flavin containing monooxygenase 5)\; is predicted to have N,N-dimethylaniline monooxygenase activity, NADP binding activity, and flavin adenine dinucleotide binding activity\; is expressed in the hypodermis."
WBGene00017484,F15E6.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F15E6.3 is enriched in the intestine based on microarray studies\; is affected by several genes including daf-16, daf-2, and dpy-10 based on microarray and RNA-seq studies\; is affected by fifteen chemicals including 1-methylnicotinamide, methylmercuric chloride, and Rotenone based on RNA-seq and microarray studies."
WBGene00010198,F57C2.6,Signaling,Signaling: unassigned,Signaling: unassigned,"spat-1 is an ortholog of human bora\; localizes to the cytoplasm, kinetochore, and nucleus\; is expressed in EMS and the P2."
WBGene00009692,F44E5.5,Stress response,Stress response: heat,Stress response: heat,F44E5.5 is predicted to have ATP binding activity.
WBGene00008296,C54D10.1,Stress response,Stress response: heavy metal,Stress response: heavy metal,"cdr-2 is an ortholog of human FAXC\; is involved in regulation of protein deneddylation and stress response to cadmium ion\; is expressed in several tissues, including the alimentary system, the nervous system, and the reproductive system."
WBGene00001397,W06D12.3,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,fat-5 is an ortholog of human SCD (stearoyl-CoA desaturase) and SCD5 (stearoyl-CoA desaturase 5)\; is predicted to have stearoyl-CoA 9-desaturase activity\; is involved in long-chain fatty acid biosynthetic process and multicellular organism development\; is expressed in the intestine and the tail.
WBGene00000403,B0034.3,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"casy-1 is an ortholog of human CLSTN1 (calsyntenin 1), CLSTN2 (calsyntenin 2), and CLSTN3 (calsyntenin 3)\; exhibits insulin receptor binding activity\; is involved in cellular protein localization and olfactory learning\; localizes to several cellular components, including the Golgi apparatus, axon, and extracellular space\; is expressed in several tissues, including the gonadal sheath cell, the intestine, and the nervous system."
WBGene00001476,K08C7.2,Metabolism,Metabolism: FMO,Metabolism: FMO,"fmo-1 is an ortholog of human FMO5 (flavin containing monooxygenase 5)\; is predicted to have N,N-dimethylaniline monooxygenase activity, NADP binding activity, and flavin adenine dinucleotide binding activity\; is expressed in the excretory gland cell, the head, the intestine, and the rectal gland cell."
WBGene00003837,T01B11.7,Transmembrane transport,Transmembrane transport: anion,Transmembrane transport: anion,oat-1 is an ortholog of human SLC22A15 (solute carrier family 22 member 15)\; is predicted to have transmembrane transporter activity.
WBGene00008448,E01G4.6,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"E01G4.6 is enriched in the PLM and the amphid sheath cell based on RNA-seq studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on proteomic, microarray, and RNA-seq studies\; is affected by fourteen chemicals including Heme, hydrogen sulfide, and methylmercury hydroxide based on microarray and RNA-seq studies."
WBGene00013181,Y53H1B.2,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y53H1B.2 is enriched in the PLM, the body wall musculature, the male, and the muscle cell based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, glp-1, and let-7 based on microarray, tiling array, proteomic, and RNA-seq studies\; is affected by fifteen chemicals including aldicarb, diallyl trisulfide, and Rotenone based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Leucine-rich repeat domain superfamily."
WBGene00008569,F08A8.7,Proteolysis proteasome,Proteolysis proteasome: E3,Proteolysis proteasome: E3: F box,"fbxa-101 is enriched in the germ line based on tiling array and RNA-seq studies\; is affected by several genes including daf-2, hsf-1, and elt-2 based on microarray and RNA-seq studies\; is affected by four chemicals including manganese chloride, bisphenol S, and Zidovudine based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Domain of unknown function DUF38, Caenorhabditis species."
WBGene00000535,K08B4.6,Proteolysis general,Proteolysis general: inhibitor,Proteolysis general: inhibitor: cysteine,"cpi-1 is an ortholog of human CST6 (cystatin E\/M), CSTL1 (cystatin like 1), and CST1 (cystatin SN)\; is predicted to have cysteine-type endopeptidase inhibitor activity."
WBGene00002047,Y39G10AR.13,Cell cycle,Cell cycle: meiotic/mitotic spindle,Cell cycle: meiotic/mitotic spindle,"icp-1 is an ortholog of human INCENP (inner centromere protein)\; exhibits protein serine\/threonine kinase activator activity\; is involved in several processes, including mitotic cytokinesis, nuclear division, and positive regulation of protein serine\/threonine kinase activity\; localizes to the kinetochore and nucleus."
WBGene00005642,C05E4.3,Proteolysis general,Proteolysis general: inhibitor,Proteolysis general: inhibitor: serine,srp-1 is an ortholog of human SERPINB5 (serpin family B member 5)\; is predicted to have peptidase activity\; localizes to the endoplasmic reticulum\; is expressed in the arcade cell and the body wall musculature.
WBGene00010234,F58B3.9,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"ttr-50 is enriched in the cephalic sheath cell, the germ line, the intestine, and the pharyngeal muscle cell based on proteomic, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray and RNA-seq studies\; is affected by thirteen chemicals including 1-methylnicotinamide, methylmercuric chloride, and Rotenone based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Transthyretin-like and Transthyretin-like superfamily."
WBGene00010902,M79.2,Metabolism,Metabolism: lipid,Metabolism: lipid: glycerolipid ,"M79.2 is an ortholog of human GPAT3 (glycerol-3-phosphate acyltransferase 3) and GPAT4 (glycerol-3-phosphate acyltransferase 4)\; is predicted to have transferase activity, transferring acyl groups\; localizes to the striated muscle dense body."
WBGene00012261,W04G3.8,Transmembrane transport,Transmembrane transport: lipid,Transmembrane transport: lipid,"lpr-3 is enriched in several tissues, including the body wall musculature, the hypodermis, the intestine, the male, and the nervous system based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray and RNA-seq studies\; is affected by twenty chemicals including methylmercury hydroxide, manganese chloride, and D-glucose based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Calycin."
WBGene00012859,Y45F3A.1,Unassigned,Unassigned,Unassigned,"Y45F3A.1 is enriched in the germ line, the male, and the nervous system based on proteomic, tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-12, dpy-10, and hsf-1 based on microarray and RNA-seq studies\; is affected by seven chemicals including manganese chloride, Mianserin, and stavudine based on RNA-seq and microarray studies."
WBGene00001976,T05A7.4,Transcription: chromatin,Transcription: chromatin structure,Transcription: chromatin structure: HMG protein,"hmg-11 is predicted to have DNA binding activity\; is expressed in several tissues, including the ABalaaa, the alimentary system, the muscular system, the nervous system, and the reproductive system."
WBGene00009884,F49C12.15,Unassigned,Unassigned,Unassigned,"F49C12.15 is enriched in the germ line, the intestine, and the male based on proteomic and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by fifteen chemicals including Ethanol, nicotinic acid, and methylmercuric chloride based on RNA-seq and microarray studies."
WBGene00006980,C14F5.2,Extracellular material,Extracellular material: matrix,Extracellular material: matrix,"zig-3 is expressed in the amphid sensillum, the body wall musculature, the head, the nervous system, and the vulva\; is predicted to encode a protein with the following domains: Immunoglobulin subtype 2, Immunoglobulin subtype, Immunoglobulin I-set, Immunoglobulin-like fold, and Immunoglobulin-like domain superfamily."
WBGene00006539,T04H1.9,Cytoskeleton,Cytoskeleton: microtubule,Cytoskeleton: microtubule: tubulin,tbb-6 is an ortholog of human TUBB1 (tubulin beta 1 class VI) and TUBB8 (tubulin beta 8 class VIII)\; is predicted to have GTP binding activity and GTPase activity\; is expressed in the pharynx.
WBGene00004984,ZC404.8,mRNA functions,mRNA functions: binding,mRNA functions: binding: RBM,"spn-4 is an ortholog of human RBFOX1 (RNA binding fox-1 homolog 1) and RBFOX3 (RNA binding fox-1 homolog 3)\; is predicted to have RNA binding activity\; localizes to the P granule\; is expressed in several tissues, including the ABa, the ABp, the germline blastomere, the reproductive system, and the somatic blastomere."
WBGene00011423,T04B2.5,Signaling,Signaling: lipid,Signaling: lipid: phospholipase A,"ipla-7 is an ortholog of human PLA2G6 (phospholipase A2 group VI)\; is predicted to have hydrolase activity\; is expressed in the intestine, the pharyngeal-intestinal valve, the pharynx, the virL, and the virR\; human orthologs of this gene are implicated in autosomal recessive Parkinson's disease 14, neurodegeneration with brain iron accumulation 2a, and neurodegeneration with brain iron accumulation 2b."
WBGene00001508,C10F3.6,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,fut-8 is an ortholog of human FUT8 (fucosyltransferase 8)\; exhibits galactoside 6-L-fucosyltransferase activity and glycoprotein 6-alpha-L-fucosyltransferase activity\; is involved in fucosylation and protein N-linked glycosylation.
WBGene00008971,F20C5.6,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F20C5.6 is enriched in the coelomocyte, the intestine, and the nervous system based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including clk-1, sir-2.1, and dpy-7 based on microarray, RNA-seq, and tiling array studies\; is affected by thirteen chemicals including 1-methylnicotinamide, Rotenone, and bisphenol S based on RNA-seq and microarray studies."
WBGene00012909,Y46G5A.19,Metabolism,Metabolism: polyamine,Metabolism: polyamine,spds-1 is an ortholog of human SRM\; is predicted to have spermidine synthase activity.
WBGene00007440,C08E8.4,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,C08E8.4 is involved in innate immune response.
WBGene00001132,T11B7.4,Cytoskeleton,Cytoskeleton: actin function,Cytoskeleton: actin function: binding,"alp-1 is an ortholog of human LDB3 (LIM domain binding 3) and PDLIM5 (PDZ and LIM domain 5)\; is predicted to have metal ion binding activity\; is involved in determination of adult lifespan and pharyngeal pumping\; localizes to several cellular components, including the apical part of cell, basal part of cell, and intracellular organelle\; is expressed in several tissues, including the epithelial system, the muscular system, and the nervous system\; is used to study cardiomyopathy and myopathy\; human orthologs of this gene are implicated in myofibrillar myopathy 4."
WBGene00006366,C44H4.3,Extracellular material,Extracellular material: PGI,Extracellular material: PGI,sym-1 is an ortholog of human LRG1\; localizes to the extracellular space.
WBGene00007999,C38C6.6,Unassigned,Unassigned,Unassigned,tag-297 is expressed in head neurons and the hypodermis.
WBGene00009618,F41E7.2,Transmembrane transport,Transmembrane transport: solute carrier,Transmembrane transport: solute carrier,F41E7.2 is an ortholog of human SLC9B1 (solute carrier family 9 member B1) and SLC9B2 (solute carrier family 9 member B2)\; is predicted to have solute:proton antiporter activity.
WBGene00018460,F45D11.15,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F45D11.15 is enriched in the muscle cell based on microarray studies\; is affected by several genes including daf-16, daf-2, and hsf-1 based on proteomic, RNA-seq, and microarray studies\; is affected by ten chemicals including Ethanol, Tunicamycin, and sesamin based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Protein of unknown function DUF684."
WBGene00007248,C01G12.8,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: transporter,"catp-4 is an ortholog of human ATP4A (ATPase H+\/K+ transporting subunit alpha) and ATP12A (ATPase H+\/K+ transporting non-gastric alpha2 subunit) and members of the human ATP1 (ATPase Na+\/K+ transporting subunits) gene family including ATP1A4, ATP1A1, and ATP1A2\; is predicted to have ATP binding activity, metal ion binding activity, and sodium:potassium-exchanging ATPase activity."
WBGene00010485,K01H12.2,Transmembrane transport,Transmembrane transport: mitochondrial,Transmembrane transport: mitochondrial: solute carrier,"ant-1.3 is an ortholog of human SLC25A4 (solute carrier family 25 member 4), SLC25A5 (solute carrier family 25 member 5), and SLC25A6 (solute carrier family 25 member 6)\; is predicted to have adenine nucleotide transmembrane transporter activity\; is expressed in the VA11 and the intestine."
WBGene00004002,T21E8.3,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"pgp-8 is an ortholog of human ABCB4 (ATP binding cassette subfamily B member 4), ABCB11 (ATP binding cassette subfamily B member 11), and ABCB1\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is expressed in head neurons."
WBGene00001396,T13F2.1,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"fat-4 is an ortholog of human FADS1 (fatty acid desaturase 1), FADS2 (fatty acid desaturase 2), and FADS3 (fatty acid desaturase 3)\; exhibits stearoyl-CoA 9-desaturase activity\; is involved in unsaturated fatty acid biosynthetic process\; is expressed in the nerve ring and touch receptor neurons."
WBGene00000795,CD4.2,Development,Development: apoptosis,Development: apoptosis,"crn-2 is an ortholog of human TATDN1\; exhibits deoxyribonuclease activity\; is involved in apoptotic DNA fragmentation and apoptotic cell clearance\; is expressed in the head, the intestine, and the tail."
WBGene00004003,C47A10.1,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"pgp-9 is an ortholog of human ABCB1 (ATP binding cassette subfamily B member 1), ABCB11 (ATP binding cassette subfamily B member 11), and ABCB4 (ATP binding cassette subfamily B member 4)\; is predicted to have efflux transmembrane transporter activity\; is expressed in the intestine, the nervous system, and the pharynx."
WBGene00001394,W02A2.1,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"fat-2 exhibits delta12-fatty acid dehydrogenase activity and stearoyl-CoA 9-desaturase activity\; is involved in several processes, including carboxylic acid metabolic process, collagen and cuticulin-based cuticle development, and innate immune response\; is expressed in several tissues, including the alimentary system, the excretory cell, the muscular system, and the nervous system."
WBGene00010473,K01D12.14,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,hrg-2 is an ortholog of human FAXC\; exhibits heme binding activity\; is expressed in the hypodermis.
WBGene00001399,F10D2.9,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,fat-7 is an ortholog of human SCD (stearoyl-CoA desaturase) and SCD5 (stearoyl-CoA desaturase 5)\; exhibits stearoyl-CoA 9-desaturase activity\; is involved in fatty acid biosynthetic process and multicellular organism development\; is expressed in the intestine.
WBGene00013901,ZC443.6,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,ugt-16 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have glucuronosyltransferase activity\; is expressed in the intestine and the pharynx.
WBGene00001398,VZK822L.1,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"fat-6 is an ortholog of human SCD (stearoyl-CoA desaturase) and SCD5 (stearoyl-CoA desaturase 5)\; exhibits stearoyl-CoA 9-desaturase activity\; is involved in innate immune response, long-chain fatty acid biosynthetic process, and multicellular organism development\; is expressed in the hypodermis."
